Date, Open_Nasdaq, High_Nasdaq, Low_Nasdaq, Close_Nasdaq
2/13/15,4869.73,4893.84,4860.13,4893.84
2/12/15,4828.08,4857.61,4823.57,4857.61
2/11/15,4788.37,4810.36,4780.13,4801.18
2/10/15,4754.63,4793.27,4737.12,4787.64
2/9/15,4723.73,4749.47,4719.61,4726.01
2/6/15,4768.85,4787.18,4731.22,4744.4
2/5/15,4729.65,4767.38,4722.8,4765.1
2/4/15,4699.81,4744.32,4697.79,4716.7
2/3/15,4693.25,4727.74,4670.82,4727.74
2/2/15,4650.6,4676.69,4580.46,4676.69
1/30/15,4671.2,4703.82,4631.1,4635.24
1/29/15,4635.73,4688.41,4601.77,4683.41
1/28/15,4740.69,4742.06,4637.48,4637.99
1/27/15,4698.23,4721.88,4659.84,4681.5
1/26/15,4752.36,4774.18,4734.2,4771.76
1/23/15,4748.19,4771.18,4737.95,4757.88
1/22/15,4690.93,4752.59,4644.57,4750.4
1/21/15,4641.95,4692.47,4629.59,4667.42
1/20/15,4655.84,4665.65,4601.1,4654.85
1/16/15,4566.38,4635.82,4563.1,4634.38
1/15/15,4657.46,4663.96,4567.39,4570.82
1/14/15,4610.76,4655.37,4595.98,4639.32
1/13/15,4708.74,4751.34,4624.28,4661.5
1/12/15,4714.07,4715.81,4650.66,4664.71
1/9/15,4744.47,4744.71,4681.24,4704.07
1/8/15,4689.54,4741.38,4688.02,4736.19
1/7/15,4626.84,4652.72,4613.91,4650.47
1/6/15,4666.85,4667.33,4567.59,4592.74
1/5/15,4700.34,4702.77,4641.47,4652.57
1/2/15,4760.24,4777.01,4698.11,4726.81
12/31/14,4790.53,4806.43,4734.1,4736.05
12/30/14,4793.61,4803.9,4772.89,4777.44
12/29/14,4801.26,4813.72,4798.9,4806.91
12/26/14,4788.06,4814.95,4787.85,4806.86
12/24/14,4770.12,4787.57,4768.66,4773.47
12/23/14,4798.03,4798.06,4761.39,4765.42
12/22/14,4759.04,4781.93,4757.81,4781.42
12/19/14,4752.6,4782.13,4738.29,4765.38
12/18/14,4712.39,4748.4,4697.09,4748.4
12/17/14,4556.9,4651.9,4550.7,4644.31
12/16/14,4572.79,4645.19,4547.31,4547.83
12/15/14,4679.67,4690.59,4592.43,4605.16
12/12/14,4665.35,4707.91,4653.6,4653.6
12/11/14,4704.65,4759.88,4699.43,4708.16
12/10/14,4754.42,4766.64,4679.25,4684.03
12/9/14,4685.2,4768.41,4674.38,4766.47
12/8/14,4769.76,4793.24,4722.91,4740.69
12/5/14,4776.57,4788.98,4769.64,4780.76
12/4/14,4772,4785.41,4753.71,4769.44
12/3/14,4761.31,4781.38,4745.14,4774.47
12/2/14,4732.97,4761.63,4729.76,4755.81
12/1/14,4777.73,4782.07,4724.62,4727.35
11/28/14,4797.1,4810.86,4786.72,4791.63
11/26/14,4760.23,4788,4757.48,4787.32
11/25/14,4762.39,4774.52,4749.92,4758.25
11/24/14,4725.17,4755.02,4723.62,4754.89
11/21/14,4751.01,4751.6,4700.73,4712.97
11/20/14,4655.2,4702.97,4653.32,4701.87
11/19/14,4694.78,4696.2,4655.72,4675.71
11/18/14,4674.84,4709.83,4674.3,4702.44
11/17/14,4678.44,4689.53,4655.19,4671
11/14/14,4679.85,4688.74,4664.31,4688.54
